cluster,wealth
1,-0.38661961538461537
2,-0.4215738461538461
3,-0.4497241666666667
4,-0.3900056
5,-0.41692359999999995
6,-0.05027230769230771
7,-0.396406
8,-0.13673
9,2.5122796000000003
10,0.5675100000000001
11,-0.22379307692307693
12,-0.332192
13,-0.6134296153846154
14,-0.37909800000000005
15,-0.47216120000000006
16,-0.5382473076923078
17,-0.36896307692307684
18,-0.344625
19,-0.23299076923076928
20,-0.37049692307692317
21,-0.2180354166666667
22,-0.11880153846153853
23,3.363113636363636
24,-0.24175461538461537
25,-0.2399151999999999
26,0.350344
27,-0.5017000000000001
28,-0.43503879999999995
29,2.253041538461539
30,-0.38408884615384625
31,-0.36742153846153847
32,-0.0992648
33,0.35865499999999995
34,-0.5247546153846152
35,-0.33194759999999995
36,-0.31339769230769227
37,-0.1797976923076923
38,0.2399669230769231
39,-0.04309769230769231
40,-0.3666572
41,-0.2434876
42,0.13290115384615386
43,-0.5243327999999999
44,-0.0728724
45,-0.3096869230769231
46,1.8842953846153845
47,-0.6294804
48,-0.28880120000000004
49,-0.24113153846153842
50,-0.37292423076923076
51,-0.3526807692307693
52,2.2831216
53,-0.4873557692307692
54,-0.5552280769230769
55,-0.10195399999999998
56,2.2484170833333335
57,2.1171912000000006
58,-0.2771736
59,-0.31735346153846156
60,2.7122003846153855
61,0.1649953846153846
62,-0.3861973076923077
63,-0.2901742307692307
64,-0.12049961538461541
65,-0.029613846153846136
66,-0.404725
67,-0.33234153846153835
68,-0.23145230769230765
69,-0.10057199999999998
70,2.237223461538462
71,-0.4083142307692308
72,-0.5910461538461539
73,-0.26932719999999993
74,-0.4041807692307693
75,-0.3604491666666667
76,3.1664161538461544
77,-0.520938
78,-0.45824653846153846
79,-0.2250592307692308
80,2.5379487499999995
81,-0.2138516
82,-0.4042361538461539
83,-0.5754569230769232
84,-0.41720909090909103
85,-0.5813011538461539
86,-0.19271500000000003
87,1.7867269230769232
88,2.8022500000000004
89,-0.3711019230769231
90,-0.44958260869565214
91,-0.32222346153846154
92,-0.10767192307692312
93,0.08658384615384619
94,-0.4271053846153846
95,-0.2878208
96,-0.37811639999999996
97,-0.4993342307692308
98,-0.37086399999999986
99,1.3383976923076921
100,-0.2630212
101,-0.20268769230769232
102,-0.5282526923076921
103,-0.16304038461538456
104,-0.4197600000000001
105,-0.4839107692307693
106,-0.32757307692307697
107,3.3904715384615383
108,-0.2670412
109,-0.61491
110,-0.16208439999999996
111,2.2205823076923075
112,-0.24527538461538462
113,-0.5256204
114,-0.049696538461538445
115,0.7028975999999999
116,-0.3255616666666667
117,-0.2896376923076923
118,-0.36519269230769236
119,-0.26986846153846156
120,-0.15380479999999996
121,1.4747611999999999
122,0.7262000000000002
123,-0.30851730769230773
124,-0.322205
125,-0.27752653846153846
126,-0.5182192307692308
127,-0.5410842307692308
128,1.3833584615384615
129,-0.27832320000000005
130,-0.4179312
131,2.3679769230769234
132,-0.1492703846153846
133,-0.3992012
134,1.6802853846153847
135,-0.28349384615384615
136,-0.16607038461538462
137,-0.3158023076923077
138,-0.3865438461538461
139,-0.44733269230769235
140,-0.5297084615384614
141,-0.478263076923077
142,-0.41081346153846154
143,0.09549769230769223
144,-0.42727800000000005
145,0.01929200000000001
146,1.1822907692307694
147,-0.11762884615384614
148,-0.22482230769230765
149,-0.2611738461538462
150,-0.5649123076923077
151,-0.26477639999999997
152,-0.4207465384615385
153,-0.4415453846153848
154,-0.32882041666666667
155,-0.37484000000000006
156,-0.3781873076923077
157,-0.22149080000000002
158,-0.7770657692307693
159,-0.14241461538461533
160,-0.1594552
161,-0.3008880769230769
162,-0.4756820833333333
163,-0.17016999999999996
164,-0.37495076923076925
165,-0.037780769230769236
166,1.9032699999999994
167,-0.0009832000000000551
168,2.4558326923076925
169,-0.24737653846153845
170,-0.2029957692307692
171,0.006411923076923078
172,-0.179326
173,2.3807276
174,-0.46145769230769235
175,0.24485959999999998
176,-0.4311908
177,0.06186153846153846
178,-0.4144411538461539
179,-0.485001923076923
180,-0.33180692307692305
181,-0.366405
182,-0.3402334615384615
183,-0.28243615384615384
184,-0.3197872
185,-0.18484923076923077
186,-0.3018042307692308
187,0.22093730769230774
188,-0.14971461538461536
189,0.40979400000000005
190,-0.051088000000000015
191,-0.32275653846153846
192,-0.26475076923076923
193,2.5473928
194,-0.2871392307692308
195,2.097186086956522
196,2.7953215384615384
197,0.27955576923076925
198,-0.3978708
199,-0.41320400000000007
200,-0.21678692307692307
201,-0.27874961538461546
202,-0.22375639999999997
203,-0.36881153846153847
204,-0.29877576923076926
205,-0.26145599999999997
206,0.8504111999999999
207,-0.3868988461538461
208,-0.37134559999999994
209,-0.41527875
210,-0.3097303846153846
211,-0.7709838461538461
212,-0.45929559999999997
213,1.0763172
214,0.8206075
215,-0.38202769230769223
216,-0.37127125
217,-0.18070920000000001
218,-0.1542646153846154
219,-0.5340583999999999
220,-0.4462044
221,-0.5365815384615386
222,-0.19898800000000003
223,1.2165700000000002
224,-0.2714296153846154
225,-0.4470369230769231
226,-0.22207384615384618
227,-0.21876615384615386
228,-0.14001692307692307
229,-0.5871857692307692
230,-0.3007488
231,1.8971423076923082
232,-0.26615
233,-0.12095999999999998
234,-0.6047642307692308
235,3.1253654166666665
236,-0.2178172
237,-0.33876199999999995
238,-0.1366673076923077
239,-0.3515019230769231
240,-0.33949199999999996
241,-0.09150038461538462
242,-0.5192699999999999
243,-0.304265
244,2.2911604
245,-0.3188365384615385
246,-0.32051576923076924
247,-0.33751769230769224
248,-0.5800904000000001
249,-0.4652776
250,-0.41987
251,-0.021257692307692307
252,0.13836666666666667
253,0.2865776923076923
254,0.259726
255,-0.4183484615384615
256,-0.18298999999999999
257,-0.08406307692307695
258,2.313022692307692
259,-0.2206338461538462
260,-0.7386923076923075
261,-0.5879970833333333
262,-0.21073279999999994
263,-0.2336644
264,2.220472083333333
265,-0.47305500000000006
266,-0.5026171999999999
267,-0.22843615384615384
268,-0.38972480000000004
269,-0.38807840000000005
270,-0.19015159999999998
271,-0.15530000000000002
272,-0.5499226923076923
273,-0.22439076923076923
274,-0.532735
275,-0.2899096
276,0.22599799999999998
277,-0.43960115384615395
278,-0.488758076923077
279,-0.3015354166666667
280,-0.32714115384615383
281,-0.1776023076923077
282,-0.4000657692307692
283,0.027306666666666677
284,-0.26203846153846155
285,-0.43821840000000006
286,-0.32700960000000007
287,-0.28432375
288,-0.42137874999999997
289,-0.24441038461538464
290,-0.240585
291,-0.36553384615384626
292,-0.2862696
293,1.1511091999999998
294,0.09973400000000002
295,-0.4367369230769231
296,-0.5434596153846155
297,0.9976608333333336
298,-0.1417746153846154
299,-0.27839
300,-0.282976
301,-0.14932600000000001
302,0.3750796153846154
303,2.2983165384615383
304,-0.41679730769230766
305,-0.21918384615384617
306,-0.4780969230769231
307,-0.42511319999999997
308,0.4052623076923077
309,-0.8848945833333333
310,0.09659884615384619
311,-0.3211833333333332
312,-0.33538
313,-0.011969200000000006
314,-0.4649636
315,-0.3005438461538462
316,-0.5553963999999999
317,-0.3076492307692308
318,-0.5999876923076921
319,-0.34550240000000004
320,-0.51801
321,0.7084730769230771
322,-0.46834269230769243
323,-0.4161434615384616
324,-0.398806
325,-0.24923653846153854
326,-0.3620592307692308
327,-0.2519196153846153
328,-0.10052880000000002
329,2.6700171999999998
330,-0.2673268
331,-0.2769904
332,-0.36851884615384617
333,-0.49504719999999997
334,-0.5223729166666666
335,-0.3503608
336,0.45337920000000004
337,-0.24358692307692312
338,-0.2971507692307692
339,-0.23798800000000006
340,-0.1818266666666667
341,-0.2520996153846154
342,-0.3461642307692307
343,-0.005037600000000012
344,0.0323196
345,-0.0010787999999999887
346,-0.35619200000000006
347,-0.5505446153846154
348,-0.515626923076923
349,-0.33292880000000014
350,-0.19135230769230765
351,0.30531249999999993
352,-0.6136238461538461
353,-0.3896726923076924
354,-0.02745115384615384
355,0.43343760000000003
356,-0.5139079999999999
357,-0.39708346153846147
358,-0.4261673076923077
359,-0.3708931999999999
360,-0.47648230769230765
361,-0.25090599999999996
362,-0.4822707692307693
363,-0.2541730769230769
364,0.11177653846153848
365,-0.8795700000000001
366,-0.23566461538461533
367,-0.3553330434782609
368,1.0194442307692306
369,-0.24022159999999995
370,-0.31725576923076926
371,-0.3781465384615385
372,-0.39919576923076927
373,1.05541
374,-0.34120307692307694
375,0.9909323076923076
376,-0.40073038461538474
377,-0.41551038461538453
378,0.09068076923076925
379,-0.4290642307692307
380,0.041068846153846136
381,2.5663926086956517
382,-0.32952916666666665
383,4.016780384615385
384,-0.5114084615384615
385,-0.40506461538461547
386,-0.6308034615384616
387,-0.2305061538461539
388,-0.3567191999999999
389,-0.465083076923077
390,2.441348846153846
391,-0.250815
392,-0.35207458333333325
393,0.9338503846153845
394,1.1363666666666663
395,-0.33135639999999994
396,-0.18327884615384615
397,-0.5536507692307692
398,-0.29730280000000003
399,0.04932280000000001
400,-0.2044592
401,1.6534591304347825
402,1.676696
403,-0.42345719999999987
404,-0.45917879999999994
405,-0.49279961538461553
406,-0.1190592307692308
407,-0.5276228000000001
408,-0.4614276923076923
409,-0.20769200000000002
410,-0.36092846153846164
411,2.2943873076923076
412,-0.23967269230769228
413,-0.4930953846153846
414,-0.32905192307692316
415,-0.16191807692307694
416,-0.39976681818181814
417,2.093427307692308
418,-0.3650573076923077
419,2.534186923076923
420,-0.200774
421,-0.43987615384615375
422,-0.5197680769230769
423,1.7385004166666664
424,2.8117503846153844
425,-0.3578464
426,-0.2111880769230769
427,1.4271052173913044
428,-0.2378465384615385
429,-0.32456692307692303
430,-0.5635484615384615
431,-0.27785884615384615
432,-0.36157307692307694
433,-0.23931615384615396
434,-0.8459899999999999
435,-0.2897864
436,-0.39536153846153843
437,0.0028784615384615433
438,0.09426307692307694
439,0.17772040000000008
440,-0.32414923076923075
441,-0.22875692307692308
442,-0.5403244
443,2.496460769230769
444,-0.11762208333333335
445,-0.4069215384615385
446,-0.2886534615384616
447,-0.22498920000000003
448,-0.30488119999999996
449,-0.4777192307692309
450,-0.3742961538461538
451,-0.4195108333333333
452,-0.1436396
453,-0.2824896
454,-0.13521115384615384
455,-0.3511156
456,-0.2589734615384615
457,-0.4404146153846153
458,-0.3167726923076923
459,0.12931615384615383
460,1.8950980769230767
461,2.5996711538461534
462,-0.3406746153846152
463,-0.3612652
464,-0.3198173076923077
465,-0.4545876
466,-0.004821923076923072
467,0.14183639999999997
468,-0.5392188461538461
469,-0.37416959999999994
470,-0.30779192307692305
471,-0.5197296153846155
472,0.17879038461538466
473,-0.0771080769230769
474,-0.40408038461538454
475,-0.3324676923076923
476,-0.36183079999999995
477,0.029113750000000008
478,-0.36427423076923077
479,-0.5624061538461539
480,-0.4082923076923078
481,2.371723461538461
482,-0.2326123076923077
483,-0.34814730769230756
484,-0.462541923076923
485,-0.24553279999999997
486,-0.14136760000000004
487,-0.2652204
488,-0.4902846153846155
489,-0.387646923076923
490,0.4516753846153845
491,-0.217502
492,-0.22797040000000002
